user_id,team1,team2,pick
9,Arkansas,Connecticut,Connecticut
9,"San Jose St.",Pacific,"San Jose St."
9,Seattle,"UC Santa Barbara",Seattle
10,Colorado,Rutgers,Rutgers
10,Virginia,Clemson,Virginia
10,"New Mexico St.","Long Beach St.","Long Beach St."
10,Princeton,"Western Kentucky","Western Kentucky"
10,Fordham,Duquesne,Fordham
10,"Notre Dame","Iowa St.","Iowa St."
10,Belmont,UCF,UCF
10,"San Francisco",UAB,UAB
10,"Rhode Island",Nebraska,"Rhode Island"
10,"Florida Gulf Coast",Toledo,Toledo
10,"Utah St.",Buffalo,"Utah St."
10,Lehigh,Drexel,Drexel
10,Navy,"Utah Tech","Utah Tech"
10,"Saint Mary's",Purdue,Purdue
10,"East Tennessee St.","Portland St.","Portland St."
10,Drake,"Wake Forest","Wake Forest"
10,Arizona,Memphis,Arizona
10,"Cal Poly","Texas A&M Commerce","Texas A&M Commerce"
10,"Missouri St.","UC Irvine","UC Irvine"
10,"Georgia Southern","Cal St. Fullerton","Cal St. Fullerton"
10,Delaware,"South Alabama","South Alabama"
10,Hampton,Albany,Albany
10,"UNC Greensboro","UC San Diego","UNC Greensboro"
10,"Arkansas St.","Stony Brook","Stony Brook"
10,Dartmouth,Lafayette,Lafayette
10,Radford,"Southern Utah",Radford
10,"N.C. State","Oklahoma St.","N.C. State"
10,"West Virginia","Boise St.","Boise St."
10,Chattanooga,Harvard,Harvard
10,"Appalachian St.",Hofstra,Hofstra
10,Mississippi,Missouri,Mississippi
10,"New Mexico",Furman,"New Mexico"
10,"Mount St. Mary's",Canisius,"Mount St. Mary's"
10,"Texas A&M",Northwestern,"Texas A&M"
10,Bradley,Liberty,Bradley
10,Arkansas,Indiana,Arkansas
10,Duke,"Penn St.",Duke
10,"Seton Hall","Wichita St.","Seton Hall"
10,Marquette,"Florida Atlantic",Marquette
10,Illinois,Charleston,Illinois
10,Seattle,"Southeast Missouri St.",Seattle
10,Bryant,"Southern Illinois","Southern Illinois"
10,"South Carolina","UNC Wilmington","UNC Wilmington"
10,"St. John's",Tennessee,Tennessee
10,"Miami FL","Mississippi St.","Miami FL"
10,"UC Santa Barbara","South Florida","UC Santa Barbara"
10,"Bowling Green","Ball St.","Bowling Green"
10,"Tennessee St.","Sacramento St.","Tennessee St."
10,TCU,Dayton,TCU
10,"San Diego",Towson,Towson
11,"Southern Utah","Eastern Michigan","Southern Utah"
11,"Arkansas St.",Wyoming,"Arkansas St."
11,"Ohio St.","San Diego St.","San Diego St."
11,Indiana,Xavier,Indiana
11,Idaho,"Delaware St.","Delaware St."
11,Creighton,BYU,Creighton
11,Campbell,Lamar,Campbell
11,"Florida Atlantic","Penn St.","Florida Atlantic"
11,Hawaii,Towson,Hawaii
11,Princeton,"South Carolina","South Carolina"
11,Davidson,Missouri,Missouri
11,Montana,"Northern Arizona",Montana
11,"Texas St.","Middle Tennessee","Middle Tennessee"
11,"Northern Iowa","Boise St.","Boise St."
11,Queens,Bryant,Bryant
11,"Kansas St.",Marquette,Marquette
11,Rutgers,Duke,Duke
11,"UNC Wilmington",Bradley,"UNC Wilmington"
11,Fordham,Hofstra,Hofstra
11,Houston,Iowa,Houston
11,Furman,TCU,TCU
11,Bellarmine,"Miami OH",Bellarmine
11,"Indiana St.",Illinois,Illinois
11,Arkansas,Gonzaga,Gonzaga
11,"La Salle","Illinois St.","La Salle"
11,"SIU Edwardsville","Jackson St.","Jackson St."
11,"North Texas",Liberty,"North Texas"
11,Oakland,"UT Arlington","UT Arlington"
11,Radford,"Oregon St.",Radford
11,Virginia,Mississippi,Mississippi
11,Charleston,"Wichita St.",Charleston
11,"North Carolina",Nevada,"North Carolina"
11,SMU,Clemson,Clemson
11,"Saint Louis","Colorado St.","Colorado St."
11,"St. Bonaventure","Utah St.","St. Bonaventure"
11,"Georgia Southern","North Carolina Central","Georgia Southern"
11,"Green Bay","Chicago St.","Chicago St."
11,"San Jose St.",Pepperdine,"San Jose St."
11,Connecticut,Alabama,Connecticut
11,Purdue,Kansas,Kansas
